GEOID,NameofArea,QualifyingName,AbbreviationUSPS,SummaryLevel,GeographicComponent,FileIdentification,LogicalRecordNumber,ZipCode3,ZipCode5,GeographicIdentifier,PopulationDensity,AreaLand,TotalPopulation,Median Age,MinorityPercentage,PercentageUnemoployment,MedianhouseholdIncome,HouseholdsGiniIndex
10110128,10128 ZCTA5,10128 ZCTA5,us,860,0,ACSSF,13087,101,10128,86000US10128,127735.4,0.4706682,60121,38.8,17.44648293,5.807407407,96296,0.5626
10110152,10152 ZCTA5,10152 ZCTA5,us,860,0,ACSSF,13088,101,10152,86000US10152,0,0.004796547,0,,#DIV/0!,#DIV/0!,,
10110153,10153 ZCTA5,10153 ZCTA5,us,860,0,ACSSF,13089,101,10153,86000US10153,0,0.004741721,0,,#DIV/0!,#DIV/0!,,
10110154,10154 ZCTA5,10154 ZCTA5,us,860,0,ACSSF,13090,101,10154,86000US10154,0,0.004780717,0,,#DIV/0!,#DIV/0!,,
10110162,10162 ZCTA5,10162 ZCTA5,us,860,0,ACSSF,13091,101,10162,86000US10162,116735.1,0.01136762,1327,39.7,8.59080633,5.87431694,168667,0.4081
10110165,10165 ZCTA5,10165 ZCTA5,us,860,0,ACSSF,13092,101,10165,86000US10165,0,0.005041722,0,,#DIV/0!,#DIV/0!,,
10110167,10167 ZCTA5,10167 ZCTA5,us,860,0,ACSSF,13093,101,10167,86000US10167,0,0.004786123,0,,#DIV/0!,#DIV/0!,,
10110168,10168 ZCTA5,10168 ZCTA5,us,860,0,ACSSF,13094,101,10168,86000US10168,0,0.005100796,0,,#DIV/0!,#DIV/0!,,
10110169,10169 ZCTA5,10169 ZCTA5,us,860,0,ACSSF,13095,101,10169,86000US10169,0,0.003831678,0,,#DIV/0!,#DIV/0!,,
10110170,10170 ZCTA5,10170 ZCTA5,us,860,0,ACSSF,13096,101,10170,86000US10170,0,0.009622052,0,,#DIV/0!,#DIV/0!,,
10110171,10171 ZCTA5,10171 ZCTA5,us,860,0,ACSSF,13097,101,10171,86000US10171,0,0.004814694,0,,#DIV/0!,#DIV/0!,,
10110172,10172 ZCTA5,10172 ZCTA5,us,860,0,ACSSF,13098,101,10172,86000US10172,0,0.004793459,0,,#DIV/0!,#DIV/0!,,
10110173,10173 ZCTA5,10173 ZCTA5,us,860,0,ACSSF,13099,101,10173,86000US10173,0,0.004747898,0,,#DIV/0!,#DIV/0!,,
10110174,10174 ZCTA5,10174 ZCTA5,us,860,0,ACSSF,13100,101,10174,86000US10174,0,0.005105815,0,,#DIV/0!,#DIV/0!,,
10110177,10177 ZCTA5,10177 ZCTA5,us,860,0,ACSSF,13101,101,10177,86000US10177,0,0.00209306,0,,#DIV/0!,#DIV/0!,,
10110199,10199 ZCTA5,10199 ZCTA5,us,860,0,ACSSF,13102,101,10199,86000US10199,0,0.02576421,0,,#DIV/0!,#DIV/0!,,
10210271,10271 ZCTA5,10271 ZCTA5,us,860,0,ACSSF,13103,102,10271,86000US10271,0,0.002617387,0,,#DIV/0!,#DIV/0!,,
10210278,10278 ZCTA5,10278 ZCTA5,us,860,0,ACSSF,13104,102,10278,86000US10278,0,0.01298462,0,,#DIV/0!,#DIV/0!,,
10210279,10279 ZCTA5,10279 ZCTA5,us,860,0,ACSSF,13105,102,10279,86000US10279,0,0.004171834,0,,#DIV/0!,#DIV/0!,,
10210280,10280 ZCTA5,10280 ZCTA5,us,860,0,ACSSF,13106,102,10280,86000US10280,62718.66,0.1384756,8685,37.9,30.39723661,5.479924177,129574,0.4223
10210282,10282 ZCTA5,10282 ZCTA5,us,860,0,ACSSF,13107,102,10282,86000US10282,71065.84,0.08748226,6217,33.9,31.49428985,1.74152154,230952,0.4406
10310301,10301 ZCTA5,10301 ZCTA5,us,860,0,ACSSF,13108,103,10301,86000US10301,10627.23,3.658997,38885,34.7,39.43422914,8.90353572,56848,0.4773
10310302,10302 ZCTA5,10302 ZCTA5,us,860,0,ACSSF,13109,103,10302,86000US10302,14075.08,1.19438,16811,34,38.73654155,9.007832898,56841,0.4726
10310303,10303 ZCTA5,10303 ZCTA5,us,860,0,ACSSF,13110,103,10303,86000US10303,7821.157,3.13726,24537,31.1,60.26001549,9.163717638,51537,0.4642
10310304,10304 ZCTA5,10304 ZCTA5,us,860,0,ACSSF,13111,103,10304,86000US10304,11119.02,3.874802,43084,34.8,52.47655742,8.239513799,53168,0.4982
10310305,10305 ZCTA5,10305 ZCTA5,us,860,0,ACSSF,13112,103,10305,86000US10305,9879.686,4.251755,42006,39.9,22.62533924,8.203365483,70758,0.4316
10310306,10306 ZCTA5,10306 ZCTA5,us,860,0,ACSSF,13113,103,10306,86000US10306,7480.454,7.473075,55902,41.4,12.07112447,7.810107198,75807,0.4291
10310307,10307 ZCTA5,10307 ZCTA5,us,860,0,ACSSF,13114,103,10307,86000US10307,7557.248,1.962222,14829,37.4,6.183828984,6.07001694,86457,0.4263
10310308,10308 ZCTA5,10308 ZCTA5,us,860,0,ACSSF,13115,103,10308,86000US10308,14666.18,1.973179,28939,42.6,4.381630326,7.147669092,88075,0.403
10310309,10309 ZCTA5,10309 ZCTA5,us,860,0,ACSSF,13116,103,10309,86000US10309,4858.739,6.719027,32646,38.5,8.49414936,5.291281116,86297,0.4058
10310310,10310 ZCTA5,10310 ZCTA5,us,860,0,ACSSF,13117,103,10310,86000US10310,14050.65,1.795433,25227,34.1,42.13342847,13.0572189,61925,0.473
10310311,10311 ZCTA5,10311 ZCTA5,us,860,0,ACSSF,13118,103,10311,86000US10311,0,0.04744655,0,,#DIV/0!,#DIV/0!,,
10310312,10312 ZCTA5,10312 ZCTA5,us,860,0,ACSSF,13119,103,10312,86000US10312,7824.309,7.678761,60081,41.2,7.171984488,7.89796663,85324,0.3988
10310314,10314 ZCTA5,10314 ZCTA5,us,860,0,ACSSF,13120,103,10314,86000US10314,6363.721,13.71462,87276,41,22.51592649,6.612440191,77242,0.4088
10410451,10451 ZCTA5,10451 ZCTA5,us,860,0,ACSSF,13121,104,10451,86000US10451,46379.59,1.014865,47069,31.2,82.8592067,17.85803114,26754,0.4674
10410452,10452 ZCTA5,10452 ZCTA5,us,860,0,ACSSF,13122,104,10452,86000US10452,76101.62,0.9846177,74931,30.4,84.68324192,16.68537003,25979,0.4575
10410453,10453 ZCTA5,10453 ZCTA5,us,860,0,ACSSF,13123,104,10453,86000US10453,87110.88,0.9159935,79793,30.7,88.60802326,20.79742226,25470,0.4687
10410454,10454 ZCTA5,10454 ZCTA5,us,860,0,ACSSF,13124,104,10454,86000US10454,36541.09,1.042361,38089,29.3,67.38690961,15.0601586,20232,0.5075
10410455,10455 ZCTA5,10455 ZCTA5,us,860,0,ACSSF,13125,104,10455,86000US10455,54166.66,0.7121724,38576,28.7,81.96028619,18.12610028,22609,0.4691
10410456,10456 ZCTA5,10456 ZCTA5,us,860,0,ACSSF,13126,104,10456,86000US10456,86133.38,1.018455,87723,30.3,89.64581695,18.26681247,23452,0.4789
10410457,10457 ZCTA5,10457 ZCTA5,us,860,0,ACSSF,13127,104,10457,86000US10457,66223.05,1.061292,70282,29,85.24800091,17.43185822,24949,0.4926
10410458,10458 ZCTA5,10458 ZCTA5,us,860,0,ACSSF,13128,104,10458,86000US10458,74192.66,1.008981,74859,29.2,79.15815066,15.59250302,24618,0.5035
10410459,10459 ZCTA5,10459 ZCTA5,us,860,0,ACSSF,13129,104,10459,86000US10459,58725.94,0.8169644,47977,28.6,86.7895033,14.78191062,24461,0.4889
10410460,10460 ZCTA5,10460 ZCTA5,us,860,0,ACSSF,13130,104,10460,86000US10460,42633.86,1.31548,56084,30,86.83938378,19.30395387,22307,0.4947
10410461,10461 ZCTA5,10461 ZCTA5,us,860,0,ACSSF,13131,104,10461,86000US10461,21557.02,2.399682,51730,38.2,49.39300213,12.56570056,52347,0.4351
10410462,10462 ZCTA5,10462 ZCTA5,us,860,0,ACSSF,13132,104,10462,86000US10462,52277.64,1.479964,77369,35.3,76.94425416,12.0257732,45864,0.4246
10410463,10463 ZCTA5,10463 ZCTA5,us,860,0,ACSSF,13133,104,10463,86000US10463,48696.15,1.44611,70420,38.8,55.61488214,10.52408412,54258,0.4828
10410464,10464 ZCTA5,10464 ZCTA5,us,860,0,ACSSF,13134,104,10464,86000US10464,1212.956,3.502189,4248,48.7,19.23258004,4.63003029,70078,0.4045
10410465,10465 ZCTA5,10465 ZCTA5,us,860,0,ACSSF,13135,104,10465,86000US10465,13080.52,3.429679,44862,40.1,36.09959431,9.852598914,65450,0.4447
10410466,10466 ZCTA5,10466 ZCTA5,us,860,0,ACSSF,13136,104,10466,86000US10466,34986.47,2.01818,70609,35.9,92.36216346,11.55906971,44012,0.4427
10410467,10467 ZCTA5,10467 ZCTA5,us,860,0,ACSSF,13137,104,10467,86000US10467,42376.04,2.330421,98754,32.4,81.33645219,16.00538562,36048,0.4694
10410468,10468 ZCTA5,10468 ZCTA5,us,860,0,ACSSF,13138,104,10468,86000US10468,66796.39,1.075238,71822,32,86.81184038,17.70049953,33776,0.4436
10410469,10469 ZCTA5,10469 ZCTA5,us,860,0,ACSSF,13139,104,10469,86000US10469,29007.29,2.476722,71843,36.2,80.2987069,17.63772513,57776,0.4346
10410470,10470 ZCTA5,10470 ZCTA5,us,860,0,ACSSF,13140,104,10470,86000US10470,10423.26,1.424698,14850,36.2,52.94949495,12.61969065,58600,0.3856
10410471,10471 ZCTA5,10471 ZCTA5,us,860,0,ACSSF,13141,104,10471,86000US10471,8532.369,2.581933,22030,43.6,27.43985474,8.038525653,71798,0.5008
10410472,10472 ZCTA5,10472 ZCTA5,us,860,0,ACSSF,13142,104,10472,86000US10472,65584.59,1.050521,68898,30.4,85.04165578,14.11514991,30288,0.4759
10410473,10473 ZCTA5,10473 ZCTA5,us,860,0,ACSSF,13143,104,10473,86000US10473,26910.97,2.17978,58660,36.1,77.56904194,11.19678715,35866,0.4809
10410474,10474 ZCTA5,10474 ZCTA5,us,860,0,ACSSF,13144,104,10474,86000US10474,8165.422,1.533172,12519,29.1,68.99113348,18.16275168,25676,0.4471
10410475,10475 ZCTA5,10475 ZCTA5,us,860,0,ACSSF,13145,104,10475,86000US10475,25087.4,1.723216,43231,46.5,82.04529157,12.6178286,43629,0.4437
11011001,11001 ZCTA5,11001 ZCTA5,us,860,0,ACSSF,13285,110,11001,86000US11001,12109.42,2.229752,27001,41.3,27.25454613,7.326495271,101634,0.3905
11011003,11003 ZCTA5,11003 ZCTA5,us,860,0,ACSSF,13286,110,11003,86000US11003,10564.21,4.140298,43739,36.5,77.11881845,9.543635555,85672,0.3783
11011004,11004 ZCTA5,11004 ZCTA5,us,860,0,ACSSF,13287,110,11004,86000US11004,15261.29,0.950116,14500,40.9,55.15862069,8.429326467,81709,0.4079
11011005,11005 ZCTA5,11005 ZCTA5,us,860,0,ACSSF,13288,110,11005,86000US11005,11262.39,0.1824657,2055,81.1,0.729927007,5.319148936,64300,0.5254
11011010,11010 ZCTA5,11010 ZCTA5,us,860,0,ACSSF,13289,110,11010,86000US11010,10270.62,2.375124,24394,41.7,15.22095597,8.205326129,87644,0.3847
11011020,11020 ZCTA5,11020 ZCTA5,us,860,0,ACSSF,13290,110,11020,86000US11020,3244.129,1.963547,6370,44.8,49.92150706,8.603844942,128309,0.5128
11011021,11021 ZCTA5,11021 ZCTA5,us,860,0,ACSSF,13291,110,11021,86000US11021,7471.771,2.337733,17467,46.1,23.18658041,7.573586154,93258,0.5086
11011023,11023 ZCTA5,11023 ZCTA5,us,860,0,ACSSF,13292,110,11023,86000US11023,5959.771,1.656104,9870,41.3,10.73961499,5.656219393,106729,0.4902
11011024,11024 ZCTA5,11024 ZCTA5,us,860,0,ACSSF,13293,110,11024,86000US11024,2143.83,3.524066,7555,40.6,12.62739907,9.239288837,97383,0.4928
11011030,11030 ZCTA5,11030 ZCTA5,us,860,0,ACSSF,13294,110,11030,86000US11030,2603.075,6.673645,17372,44.8,16.05457057,6.088961215,172266,0.5254
11011040,11040 ZCTA5,11040 ZCTA5,us,860,0,ACSSF,13295,110,11040,86000US11040,8410.931,4.78318,40231,44.5,40.42156546,6.813229384,101434,0.3915
11011042,11042 ZCTA5,11042 ZCTA5,us,860,0,ACSSF,13296,110,11042,86000US11042,922.6437,0.58961,544,82.1,37.5,#DIV/0!,,
11011050,11050 ZCTA5,11050 ZCTA5,us,860,0,ACSSF,13297,110,11050,86000US11050,3069.248,9.991372,30666,41.5,16.72536359,8.968018464,105828,0.5089
11011096,11096 ZCTA5,11096 ZCTA5,us,860,0,ACSSF,13298,110,11096,86000US11096,6771.722,1.222141,8276,32.4,67.61720638,12.92802236,48538,0.4287
11111101,11101 ZCTA5,11101 ZCTA5,us,860,0,ACSSF,13299,111,11101,86000US11101,9764.102,2.615397,25537,34,49.50464033,11.13745728,47142,0.4959
11111102,11102 ZCTA5,11102 ZCTA5,us,860,0,ACSSF,13300,111,11102,86000US11102,42745.13,0.8077879,34529,32.3,43.52573199,9.260302262,49924,0.4527
11111103,11103 ZCTA5,11103 ZCTA5,us,860,0,ACSSF,13301,111,11103,86000US11103,53081.57,0.7110755,37745,34.9,22.76857862,9.15617908,55129,0.4253
11111104,11104 ZCTA5,11104 ZCTA5,us,860,0,ACSSF,13302,111,11104,86000US11104,65971.95,0.3899991,25729,37.3,37.61514245,6.643771464,56059,0.4294
11111105,11105 ZCTA5,11105 ZCTA5,us,860,0,ACSSF,13303,111,11105,86000US11105,22175.91,1.631951,36190,35.3,21.54462559,9.288107961,57525,0.4393
11111106,11106 ZCTA5,11106 ZCTA5,us,860,0,ACSSF,13304,111,11106,86000US11106,43017.97,0.8570603,36869,36.5,39.20637934,11.92209765,48720,0.4793
11111109,11109 ZCTA5,11109 ZCTA5,us,860,0,ACSSF,13305,111,11109,86000US11109,87826.62,0.04012451,3524,31.6,27.01475596,4.584221748,125871,0.4144
11211201,11201 ZCTA5,11201 ZCTA5,us,860,0,ACSSF,13306,112,11201,86000US11201,38471.77,1.42099,54668,35.2,33.63210653,7.569733208,95369,0.5413
11211203,11203 ZCTA5,11203 ZCTA5,us,860,0,ACSSF,13307,112,11203,86000US11203,37086.12,2.145601,79572,38.3,95.81511084,12.64359186,48400,0.4367
11211204,11204 ZCTA5,11204 ZCTA5,us,860,0,ACSSF,13308,112,11204,86000US11204,50953.84,1.588948,80963,33.6,32.36663661,9.693749126,45472,0.4632
11211205,11205 ZCTA5,11205 ZCTA5,us,860,0,ACSSF,13309,112,11205,86000US11205,45283.84,0.9496102,43002,29.3,52.56732245,12.09098949,44688,0.5452
11211206,11206 ZCTA5,11206 ZCTA5,us,860,0,ACSSF,13310,112,11206,86000US11206,56833.41,1.434456,81525,28.5,55.34866605,14.11128457,28559,0.5056
11211207,11207 ZCTA5,11207 ZCTA5,us,860,0,ACSSF,13311,112,11207,86000US11207,34629.88,2.670844,92491,30.7,85.68833724,15.08697284,32945,0.4931
11211208,11208 ZCTA5,11208 ZCTA5,us,860,0,ACSSF,13312,112,11208,86000US11208,26939.11,3.456202,93107,30.5,66.97455616,12.09543137,35079,0.5083
11211209,11209 ZCTA5,11209 ZCTA5,us,860,0,ACSSF,13313,112,11209,86000US11209,33588.78,2.162121,72623,39,22.88118089,9.17354254,58261,0.479
11211210,11210 ZCTA5,11210 ZCTA5,us,860,0,ACSSF,13314,112,11210,86000US11210,39792.05,1.641081,65302,34.9,66.59367248,8.649315328,55429,0.4557
11211211,11211 ZCTA5,11211 ZCTA5,us,860,0,ACSSF,13315,112,11211,86000US11211,40581.32,2.298373,93271,29.7,17.45022569,6.906888022,46848,0.5275
11211212,11212 ZCTA5,11212 ZCTA5,us,860,0,ACSSF,13316,112,11212,86000US11212,54956.94,1.537931,84520,31.9,95.50638902,13.46176265,28348,0.5001
11211213,11213 ZCTA5,11213 ZCTA5,us,860,0,ACSSF,13317,112,11213,86000US11213,56882.03,1.091012,62059,32.8,79.89655006,10.70226774,34794,0.4842
11211214,11214 ZCTA5,11214 ZCTA5,us,860,0,ACSSF,13318,112,11214,86000US11214,38060.13,2.184859,83156,40,42.97705517,9.43689014,43398,0.4557
11211215,11215 ZCTA5,11215 ZCTA5,us,860,0,ACSSF,13319,112,11215,86000US11215,31628.39,2.178138,68891,34.5,25.91630256,6.883887583,95654,0.4729
11211216,11216 ZCTA5,11216 ZCTA5,us,860,0,ACSSF,13320,112,11216,86000US11216,57495.47,0.9354302,53783,34.8,84.18459364,11.23535853,43996,0.4944
11211217,11217 ZCTA5,11217 ZCTA5,us,860,0,ACSSF,13321,112,11217,86000US11217,51667.01,0.7507112,38787,34.9,45.16203883,8.527787853,81862,0.5088
11211218,11218 ZCTA5,11218 ZCTA5,us,860,0,ACSSF,13322,112,11218,86000US11218,52340.8,1.428293,74758,32.7,42.83688702,7.887130076,52445,0.4661
11211219,11219 ZCTA5,11219 ZCTA5,us,860,0,ACSSF,13323,112,11219,86000US11219,65429.87,1.48206,96971,28.1,34.87537511,7.620106532,34316,0.4798
11211220,11220 ZCTA5,11220 ZCTA5,us,860,0,ACSSF,13324,112,11220,86000US11220,57552.4,1.79122,103089,32.4,68.38362968,11.50573937,37580,0.4684
11211221,11221 ZCTA5,11221 ZCTA5,us,860,0,ACSSF,13325,112,11221,86000US11221,58786.51,1.383328,81321,31.6,70.24507815,16.71579677,39178,0.4747
11211222,11222 ZCTA5,11222 ZCTA5,us,860,0,ACSSF,13326,112,11222,86000US11222,22428.9,1.524194,34186,33.7,16.04165448,6.202023726,63739,0.4574
11211223,11223 ZCTA5,11223 ZCTA5,us,860,0,ACSSF,13327,112,11223,86000US11223,35967.79,2.074245,74606,38.7,33.54958046,11.38203985,41328,0.4897
11211224,11224 ZCTA5,11224 ZCTA5,us,860,0,ACSSF,13328,112,11224,86000US11224,27547.02,1.544087,42535,47.3,41.47643117,16.69773485,27481,0.5166
11211225,11225 ZCTA5,11225 ZCTA5,us,860,0,ACSSF,13329,112,11225,86000US11225,66956.75,0.883884,59182,33.8,82.23277348,18.82246884,42922,0.4576
11211226,11226 ZCTA5,11226 ZCTA5,us,860,0,ACSSF,13330,112,11226,86000US11226,76257.16,1.289387,98325,33.8,90.43986779,13.25829361,40734,0.4668
11211228,11228 ZCTA5,11228 ZCTA5,us,860,0,ACSSF,13331,112,11228,86000US11228,29884.86,1.469942,43929,40.2,31.37335246,9.91902834,61893,0.4508
11211229,11229 ZCTA5,11229 ZCTA5,us,860,0,ACSSF,13332,112,11229,86000US11229,37400.8,2.166531,81030,40.8,27.66999877,9.431481243,51725,0.4616
11211230,11230 ZCTA5,11230 ZCTA5,us,860,0,ACSSF,13333,112,11230,86000US11230,45776.63,1.839782,84219,34.7,28.39620513,10.08316559,42170,0.5055
11211231,11231 ZCTA5,11231 ZCTA5,us,860,0,ACSSF,13334,112,11231,86000US11231,24004.04,1.422136,34137,35.3,35.50106922,9.101162163,78174,0.5076
