,CensusTract,Market_Val
0,360050,121500.0
1,36005100,527664000.0
2,3600511000,517000.0
3,360051150200,415000.0
4,3600511700,580500.0
5,3600511800,404000.0
6,3600511900,379000.0
7,360051210100,352000.0
8,360051210200,349000.0
9,3600512300,430000.0
10,3600512500,353500.0
11,360051270100,307000.0
12,360051290100,404500.0
13,3600513000,422000.0
14,3600513100,369000.0
15,3600513200,403000.0
16,3600513300,322500.0
17,3600513500,373000.0
18,3600513800,405000.0
19,3600514100,370000.0
20,3600514300,495615.5
21,3600514400,414000.0
22,3600514500,424000.0
23,360051470100,1152000.0
24,360051470200,819000.0
25,3600514900,434000.0
26,3600515100,444000.0
27,3600515200,384000.0
28,3600515300,346000.0
29,3600515500,404000.0
30,3600515700,415000.0
31,3600515800,439000.0
32,3600515900,732000.0
33,360051600,380000.0
34,3600516000,401000.0
35,3600516100,693000.0
36,3600516200,416500.0
37,3600516300,17069000.0
38,3600516400,405000.0
39,3600516500,461000.0
40,3600516600,393000.0
41,3600516700,376000.0
42,3600516900,314000.0
43,3600517300,486000.0
44,3600517500,496000.0
45,360051770100,405000.0
46,360051770200,350000.0
47,360051790100,929000.0
48,360051790200,870000.0
49,360051810100,454000.0
50,360051810200,1112000.0
51,360051830100,1931000.0
52,360051830200,503500.0
53,3600518400,409500.0
54,3600518500,356000.0
55,3600518900,455000.0
56,360051900,434000.0
57,3600519300,493000.0
58,3600519400,400500.0
59,3600519500,1280000.0
60,3600519700,1416000.0
61,3600519900,464000.0
62,36005200,328000.0
63,360052000,390000.0
64,3600520000,448000.0
65,3600520100,428500.0
66,3600520200,415000.0
67,3600520400,399000.0
68,360052050100,391000.0
69,360052050200,408000.0
70,360052060100,423000.0
71,3600520900,900000.0
72,360052100100,1683000.0
73,360052100200,803500.0
74,3600521100,355000.0
75,3600521200,0.0
76,360052130100,456000.0
77,360052130200,484000.0
78,360052150100,755000.0
79,360052150200,482000.0
80,360052160100,458000.0
81,360052160200,478000.0
82,3600521700,498500.0
83,3600521800,413000.0
84,3600521900,572500.0
85,3600522000,369500.0
86,360052210100,1264500.0
87,360052210200,1513000.0
88,3600522200,438000.0
89,3600522300,1623000.0
90,360052240100,2574000.0
91,360052240300,2678000.0
92,360052240400,2505000.0
93,3600522500,530000.0
94,360052270100,424500.0
95,360052270200,1267000.0
96,360052270300,2203500.0
97,3600522800,464000.0
98,360052290100,507500.0
99,360052290200,442000.0
100,360052300,799000.0
101,3600523000,441000.0
102,3600523100,492500.0
103,3600523200,443000.0
104,360052330100,556500.0
105,360052330200,551000.0
106,360052350100,789000.0
107,360052350200,436000.0
108,3600523600,406000.0
109,360052370200,1135000.0
110,360052370300,1173000.0
111,360052370400,676500.0
112,3600523800,418000.0
113,3600523900,429500.0
114,360052400,535000.0
115,3600524000,415000.0
116,3600524100,516000.0
117,3600524300,408000.0
118,3600524400,400500.0
119,360052450100,511500.0
120,360052450200,382000.0
121,3600524600,431000.0
122,3600524700,434500.0
123,3600524800,467000.0
124,3600524900,12062500.0
125,360052500,499000.0
126,3600525000,428000.0
127,3600525100,382000.0
128,3600525200,432000.0
129,3600525300,432000.0
130,3600525400,426000.0
131,3600525500,447000.0
132,3600525600,386000.0
133,3600525700,359000.0
134,3600526100,268691914.5
135,3600526300,462000.0
136,3600526400,421000.0
137,3600526500,489000.0
138,360052660100,424500.0
139,360052660200,453000.0
140,360052670100,553500.0
141,360052670200,523500.0
142,3600526900,427500.0
143,36005270100,400000.0
144,36005270200,345000.0
145,3600527300,446000.0
146,360052740100,474000.0
147,360052740200,539500.0
148,3600527600,9401000.0
149,3600527700,397000.0
150,3600527900,426000.0
151,360052800,332000.0
152,3600528100,600000.0
153,3600528300,756000.0
154,3600528400,324000.0
155,3600528500,516000.0
156,3600528600,393500.0
157,3600528700,533500.0
158,3600528800,469000.0
159,3600528900,1118000.0
160,360052930100,1144000.0
161,360052930200,834500.0
162,3600529500,704000.0
163,3600529600,406500.0
164,3600529700,922000.0
165,3600530000,464000.0
166,3600530100,975500.0
167,3600530200,412000.0
168,360053070100,1285500.0
169,3600530900,1409000.0
170,360053100,367000.0
171,3600531000,461500.0
172,3600531200,412000.0
173,3600531400,413000.0
174,3600531600,417000.0
175,3600531800,431000.0
176,3600531900,550500.0
177,3600532300,1149000.0
178,3600532400,415000.0
179,3600532600,416000.0
180,3600532800,419000.0
181,360053300,359500.0
182,3600533000,441500.0
183,360053320100,666000.0
184,360053320200,479000.0
185,3600533400,34989500.0
186,3600533500,1383500.0
187,3600533600,425500.0
188,3600533700,616000.0
189,3600533800,403000.0
190,3600534000,444000.0
191,3600534200,407000.0
192,3600534300,636500.0
193,3600534400,382000.0
194,3600534500,604000.0
195,3600534800,381000.0
196,360053500,403000.0
197,3600535000,332500.0
198,3600535100,781000.0
199,3600535600,401000.0
200,3600535800,369000.0
201,3600535900,452500.0
202,3600536000,383000.0
203,3600536100,409000.0
204,3600536300,447000.0
205,3600536400,350000.0
206,360053650100,414000.0
207,360053650200,401000.0
208,3600536700,353000.0
209,3600536800,342000.0
210,360053690100,458000.0
211,360053690200,373000.0
212,360053700,372000.0
213,3600537000,367500.0
214,3600537100,362000.0
215,3600537200,361500.0
216,3600537300,387000.0
217,3600537400,389000.0
218,360053750400,418000.0
219,3600537600,403000.0
220,3600537800,414000.0
221,3600537900,348500.0
222,360053800,370000.0
223,3600538000,402000.0
224,3600538100,403000.0
225,3600538200,338500.0
226,360053830100,389500.0
227,360053830200,619000.0
228,3600538500,353000.0
229,3600538600,353000.0
230,3600538700,385500.0
231,3600538800,355000.0
232,3600538900,379000.0
233,360053900,359000.0
234,3600539000,408000.0
235,3600539100,395000.0
236,3600539200,444000.0
237,3600539300,410000.0
238,3600539400,434000.0
