,cleanName,NAME,Type,valid,parkDistrict_x,parkDistrict_y,geometry
365,london planetree playground,london planetree playground,park_direct,av,,Q-09,POINT (-73.85324212450882 40.68613983053267)
366,bensonhurst park,bensonhurst park,park_direct,av,,B-11,POINT (-74.00130224807033 40.59651286248706)
367,grand ferry park,grand ferry park,park_direct,av,,B-01,POINT (-73.96738711533321 40.71684145388143)
368,curtis park,curtis playground,other,v,,B-18,POINT (-73.91741522760094 40.64095208202178)
369,clawson playground playground - ps 50,clawson playground,pgs,v,,R-03,POINT (-74.1236 40.56049999999983)
370,prospect park - middle long meadow,prospect park,empiric,av,,B-19,POINT (-73.96968227860212 40.66135344094496)
371,wagner playground,wagner playground,park_direct,av,,M-11,POINT (-73.93492151550142 40.79977400153548)
372,forest park - carousel,forest park,empiric,av,,Q-16,POINT (-73.85300297695302 40.70205260741513)
373,benniger playground,benninger playground,pgs,av,,Q-05,POINT (-73.89830000000001 40.70709999999983)
374,dan ross playground,dan ross playground,park_direct,av,,B-10,POINT (-74.02158919036337 40.62280335605225)
375,sternberg park,sternberg park,park_direct,av,,B-01,POINT (-73.94724412545919 40.70622664326648)
376,gorman memorial park,gorman park,other,v,,M-12,POINT (-73.93241220786243 40.85570483817994)
377,ciccarone park,ciccarone park,park_direct,av,,X-06,POINT (-73.88670438185919 40.85596618934044)
378,st michaels playground,st michaels playground,pgs,av,,Q-01,POINT (-73.90000000000001 40.75879999999984)
379,grassmere playground,grassmere playground,park_direct,av,,Q-14,POINT (-73.75891005603086 40.59927701385128)
380,pool - jhs 57 and hs 26,jhs 57/hs 26 pool,pool,av,,B-03,POINT (-73.9323 40.69169999999985)
381,umma park,umma park,park_direct,av,,B-14,POINT (-73.96204672468612 40.65369010272303)
382,astoria park - charybdis playground,charybdis playground,pgs,av,,Q-01,POINT (-73.9224 40.77979999999985)
383,cunningham park - redwood playground,redwood playground,pgs,av,,Q-08,POINT (-73.77549999999999 40.72699999999985)
384,staten island greenbelt park - willowbrook park natural area,greenbelt native plant center,empiric,av,,R-02,POINT (-74.18155504198339 40.5960761085245)
385,half nelson playground,half-nelson playground,pgs,av,,X-05,POINT (-73.91930000000001 40.84679999999983)
386,east flatbush childrens park,east flatbush children's park,other,av,,B-17,POINT (-73.92695223313407 40.66326731455386)
387,manhattan beach park,manhattan beach park,park_direct,av,,B-15,POINT (-73.9430926158356 40.57661541273792)
388,mcarthur park,macarthur park,other,av,,M-06,POINT (-73.96514740432791 40.75220391650516)
389,beach - manhattan,manhattan beach,beach,av,,B-15,POINT (-73.94410000000001 40.57639999999984)
390,recreation center - pelham fritz,marcus garvey park,other,v,,M-11,POINT (-73.94366947479013 40.80448551600962)
391,recreation center - recreation center 54,recreation center 54,other,av,,M-06,POINT (-73.96513134853097 40.75647974555874)
392,recreation center - fifty-four,recreation center 54,other,v,,M-06,POINT (-73.96513134853097 40.75647974555874)
393,newport playground,newport playground,park_direct,av,,B-16,POINT (-73.90703217432754 40.66086328335735)
394,van cortlandt park - healy field and gaelic field,van cortlandt park,empiric,av,,X-13,POINT (-73.88666707241306 40.89710151291683)
395,recreation center - vic hanson,rochdale park,other,v,,Q-12,POINT (-73.77442323958113 40.67467072034221)
396,queensbridge park,queensbridge park,park_direct,av,,Q-01,POINT (-73.94818564674387 40.75579531435741)
397,breininger park,breininger park,park_direct,av,,Q-13,POINT (-73.72897475874407 40.72582789720563)
398,lou lodati playground,torsney playground,other,v,,Q-02,POINT (-73.9216111857846 40.74735119586145)
