,cleanName,NAME,Type,valid,parkDistrict_x,parkDistrict_y,geometry
420,crocheron park,crocheron park,park_direct,av,,Q-11,POINT (-73.76755253684966 40.7715321696688)
421,riverdale park,riverdale park,park_direct,av,,X-08,POINT (-73.91938792056766 40.89262513835702)
422,wakefield playground,wakefield playground,park_direct,av,,X-12,POINT (-73.85450486464259 40.90191017481158)
423,john golden park,john golden park,park_direct,av,,Q-11,POINT (-73.76832227244199 40.77401451324958)
424,hellgate field,whitey ford field,other,v,,Q-01,POINT (-73.93483559268738 40.77764696078302)
425,bushwick ballfields,hope ballfield,other,v,,B-04,POINT (-73.91713545096431 40.69748404752606)
426,prospect park - lullwater and boathouse,prospect park,empiric,av,,B-19,POINT (-73.96968227860212 40.66135344094496)
427,cyprus hills playground,cyprus hills playground,pgs,av,,B-05,POINT (-73.8717 40.67039999999984)
428,thomas greene playground,thomas greene playground,park_direct,av,,B-06,POINT (-73.98535191831802 40.68031718712923)
429,forest park - sobelsohn park,forest park,empiric,av,,Q-16,POINT (-73.85300297695302 40.70205260741513)
430,kissena corridor east,kissena corridor park,other,av,,Q-07,POINT (-73.82346042661605 40.74825132541721)
431,kissena corridor east,kissena corridor park,other,av,,Q-08,POINT (-73.78184923260966 40.74178847177561)
432,van cortlandt park - nature center,van cortlandt park,empiric,av,,X-13,POINT (-73.88666707241306 40.89710151291683)
433,friends field,friends field,park_direct,av,,B-12,POINT (-73.97290335484726 40.61872528236712)
434,inwood hill park - emerson playground,inwood hill park,empiric,av,,M-12,POINT (-73.92551288356847 40.87256008428427)
435,sledge playground,sledge playground,park_direct,av,,B-18,POINT (-73.89781218262247 40.63816960708661)
436,parade grounds playground,parade ground,park_direct,v,,B-14,POINT (-73.96851381993018 40.65077394483697)
437,red hook park - bush clinton park playground,red hook recreation area,empiric,av,,B-06,POINT (-74.00569975591829 40.67186885874889)
438,roy wilkins recreation center,roy wilkins recreation center,park_direct,av,,Q-12,POINT (-73.77203672336154 40.68789009701004)
439,prospect park - park side avenue,prospect park,empiric,av,,B-19,POINT (-73.96968227860212 40.66135344094496)
440,bayview playground,bayview playground,park_direct,av,,B-18,POINT (-73.88690984753543 40.63491240685303)
441,monsignor kett playground,monsignor kett playground,park_direct,av,,M-12,POINT (-73.92091328682304 40.86252800935799)
442,athens square - ps 17,athens square,other,v,,Q-01,POINT (-73.92228381510856 40.76781279425501)
443,marcus garvey park - mount morris east playground,marcus garvey park,park_direct,v,,M-11,POINT (-73.94366947479013 40.80448551600962)
444,forest park - jackson pond playground,forest park,empiric,av,,Q-16,POINT (-73.85300297695302 40.70205260741513)
445,brooklyn bridge park - pier 1,brooklyn bridge park,other,av,,B-02,POINT (-73.99798574713675 40.69771763634632)
446,central park - adventure playground,central park,empiric,av,,M-13,POINT (-73.96555840117853 40.78248383838978)
447,conference house park,conference house park,park_direct,av,,R-03,POINT (-74.24212061507374 40.499753085704)
448,john jay park and pool,john jay pool,pool,av,,M-08,POINT (-73.949 40.76959999999984)
449,digilio playground,digilio playground,pgs,av,,B-14,POINT (-73.97709999999999 40.63269999999985)
450,wolfes pond park,wolfe's pond park,other,av,,R-03,POINT (-74.19097568794001 40.52033825779969)
451,rochdale park,rochdale park,park_direct,av,,Q-12,POINT (-73.77442323958113 40.67467072034221)
452,ruppert park,ruppert park,park_direct,av,,M-08,POINT (-73.95013140961677 40.7809580909345)
453,alley pond park,alley pond park,park_direct,av,,Q-11,POINT (-73.74685854792372 40.75360765309033)
454,fermi playground,fermi playground,park_direct,av,,B-04,POINT (-73.92831581113248 40.70060166203855)
455,central park - 110th street playground,central park,empiric,av,,M-13,POINT (-73.96555840117853 40.78248383838978)
456,central park - the mall and rumsey playfield,central park,empiric,av,,M-13,POINT (-73.96555840117853 40.78248383838978)
457,vinmont veteran park,vinmont veteran park,park_direct,av,,X-08,POINT (-73.90493886969416 40.9024459428778)
458,manhattan beach - manhattan beach park playground,manhattan beach park,pgs,av,,B-15,POINT (-73.94070000000001 40.57759999999984)
459,albert j parham playground,parham playground,pgs,av,,B-02,POINT (-73.9708 40.69029999999984)
460,smokey oval,"phil ""scooter"" rizzuto park",other,v,,Q-09,POINT (-73.82158665782951 40.69479295098764)
461,flushing meadows and corona park - saturn play equipment,flushing meadows corona park,empiric,av,,Q-15,POINT (-73.84178561075053 40.74327909895254)
462,springfield park,springfield park,park_direct,av,,Q-13,POINT (-73.76194788701852 40.66131379578339)
463,bicentennial veterinary park at weir center,bicentennial veterans memorial park,other,v,,X-10,POINT (-73.81385762207829 40.82350663653121)
464,cherry tree playground,cherry tree park,other,v,,M-11,POINT (-73.9472055241675 40.78723868830546)
465,abraham lincoln playground,abraham lincoln playground,park_direct,av,,M-11,POINT (-73.93718678520435 40.81219510555199)
466,riverside park - over the tracks tennis courts,riverside park,other,av,,M-14,POINT (-73.95365809523385 40.82606986895416)
467,riverside park - over the tracks tennis courts,riverside park,other,av,,M-14,POINT (-73.97456126834187 40.79883352294459)
468,columbus park playground,columbus park,pgs,v,,M-03,POINT (-74 40.71519999999984)
469,middleton playground,middleton playground,park_direct,av,,B-01,POINT (-73.95542086412738 40.70068153818937)
470,alice austen park,alice austen park,park_direct,av,,R-01,POINT (-74.06257303794519 40.61583593983736)
471,van cortlandt park - southwest playground,van cortlandt park,empiric,av,,X-13,POINT (-73.88666707241306 40.89710151291683)
472,staten island greenbelt park - willowbrook park recreational area,greenbelt native plant center,empiric,av,,R-02,POINT (-74.18155504198339 40.5960761085245)
473,markham playground,markham playground,park_direct,av,,R-01,POINT (-74.14589142858834 40.62347935799695)
474,recreation center - george cromwell,lyons pool,pool,v,,R-01,POINT (-74.07429999999999 40.63689999999986)
475,crowley playground,crowley playground,park_direct,av,,Q-04,POINT (-73.87961383482391 40.72956072523123)
476,high rock park,high rock park,park_direct,av,,R-02,POINT (-74.12415392478351 40.58292172778059)
477,crotona park - nature center,crotona park,empiric,av,,X-03,POINT (-73.89489523245744 40.83858538262999)
478,damrosch park,damrosch park,park_direct,av,,M-07,POINT (-73.9849939561485 40.77221285785694)
479,red hook park,red hook recreation area,empiric,av,,B-06,POINT (-74.00569975591829 40.67186885874889)
480,linden park - linden park school playground,linden park,pgs,av,,B-05,POINT (-73.88760000000001 40.65829999999985)
481,linden park - linden park school playground,linden park,pgs,av,,B-05,POINT (-73.8875 40.65919999999987)
482,linden park - linden park school playground,linden park,pgs,av,,Q-04,POINT (-73.86190000000001 40.74859999999984)
483,taylor playground,taylor playground,park_direct,av,,X-09,POINT (-73.86610129182603 40.83899567010201)
484,broad channel park,broad channel park,park_direct,av,,Q-14,POINT (-73.81976386500567 40.60100265339879)
485,samuel seabury playground - ps 198,samuel seabury playground,pgs,av,,M-08,POINT (-73.9508 40.78539999999986)
486,castle hill playground,castle hill playground,park_direct,av,,X-09,POINT (-73.85322332164642 40.83924886259848)
487,pelham bay park - bronx victory memorial column,pelham bay park,empiric,av,,X-11,POINT (-73.80420185645582 40.8681072084011)
488,big bush park,big bush park,park_direct,av,,Q-02,POINT (-73.90262797018787 40.73960804145004)
489,palmetto playground,adam yauch park,other,v,,B-02,POINT (-73.9991459078562 40.69209838063001)
490,williamsburg bridge playground,bedford playground,pgs,v,,B-01,POINT (-73.9639 40.70829999999984)
491,central park - bendheim playground,central park,empiric,av,,M-13,POINT (-73.96555840117853 40.78248383838978)
492,calvert vaux,calvert vaux park,other,av,,B-13,POINT (-73.99475491445658 40.58450607514909)
493,lillian d wald playground,lillian d wald playground,park_direct,av,,M-03,POINT (-73.98436373013031 40.71204164538815)
494,andries playground,andries playground,park_direct,av,,B-14,POINT (-73.94645526192048 40.62283326236142)
495,shore road park - 79th street playground,belt parkway/shore parkway,other,v,,B-18,POINT (-73.91717888341456 40.61697806644458)
496,naples playground,naples playground,park_direct,av,,R-02,POINT (-74.09024811807598 40.60255106489574)
497,college point park,college point park,park_direct,av,,Q-07,POINT (-73.84648500390591 40.78562391392669)
498,oxport playground,oxport playground,park_direct,av,,B-02,POINT (-73.97624385785286 40.69760448611029)
499,alfred smith - ps 1,alfred e. smith playground,other,v,,M-03,POINT (-73.9974813224467 40.71059791642097)
500,bill brown memorial playground,bill brown memorial playground,pgs,av,,B-15,POINT (-73.9457 40.59219999999983)
501,lemon creek park,lemon creek park,park_direct,av,,R-03,POINT (-74.20179715978452 40.51299059398659)
502,golf course - clearview park,clearview golf course,golf,av,,Q-07,POINT (-73.78944300000001 40.78704999999984)
503,bloomingdale playground,bloomingdale playground,park_direct,av,,M-07,POINT (-73.96600104045538 40.79917221487875)
504,silent springs playground,silent springs playground,pgs,av,,Q-07,POINT (-73.82300000000001 40.74989999999983)
505,central park - east meadow,central park,empiric,av,,M-13,POINT (-73.96555840117853 40.78248383838978)
506,saw mill creek marsh,saw mill creek marsh,park_direct,av,,R-02,POINT (-74.19152451038579 40.60927490365493)
507,central park - north meadow,central park,empiric,av,,M-13,POINT (-73.96555840117853 40.78248383838978)
508,nellie bly park,nellie bly park,park_direct,av,,B-11,POINT (-73.99446006470689 40.59084379426902)
509,harry chapin park,harry chapin playground,other,v,,B-02,POINT (-73.99492422998985 40.70066437401988)
510,poe park,poe park,park_direct,av,,X-07,POINT (-73.89461163505258 40.86480316290766)
511,the rink at bryant park,bryant park,other,v,,M-05,POINT (-73.98296372400347 40.75349664785227)
512,crotona malls,crotona parkway malls,other,v,,X-06,POINT (-73.88476990739672 40.84404990236699)
513,el hajj malik el shabazz playground,el hajj malik el shabazz playground,pgs,av,,B-03,POINT (-73.93040000000001 40.68279999999984)
514,asser levy park,asser levy park,park_direct,av,,B-13,POINT (-73.97353099490509 40.574731365639)
515,forest park - greenhouse playground,forest park,empiric,av,,Q-16,POINT (-73.85300297695302 40.70205260741513)
516,highbridge park - adventure playground,adventure playground,pgs,av,,M-13,POINT (-73.97750000000001 40.77329999999984)
517,highbridge park - adventure playground,adventure playground,pgs,av,,M-12A,POINT (-73.9367 40.83639999999985)
518,williamsbridge oval - p g  mini pool and courts,williamsbridge oval,other,v,,X-07,POINT (-73.87738571642642 40.87762743958928)
519,willowbrook park,willowbrook park,park_direct,av,,R-02,POINT (-74.15696103789577 40.60069418976901)
520,sol lain playground,sol lain playground,pgs,av,,M-03,POINT (-73.9838 40.71419999999984)
521,harold schneiderman playground - ps 232,harold schneiderman playground,pgs,av,,Q-10,POINT (-73.85050000000001 40.66519999999984)
522,springfield playground,springfield playground,pgs,av,,Q-13,POINT (-73.7623 40.66009999999985)
523,grover cleveland park,grover cleveland playground,other,v,,Q-05,POINT (-73.91114488799219 40.71089966652034)
524,central park - 110th street and lenox avenue playground,central park,empiric,av,,M-13,POINT (-73.96555840117853 40.78248383838978)
525,central park - cedar hill,central park,empiric,av,,M-13,POINT (-73.96555840117853 40.78248383838978)
526,jackie robinson park,jackie robinson park,park_direct,av,,B-03,POINT (-73.92781171561096 40.6802120196116)
527,jackie robinson park,jackie robinson park,park_direct,av,,M-10,POINT (-73.94112979682347 40.82658501813408)
528,jackie robinson park,jackie robinson park,park_direct,av,,B-03,POINT (-73.92781171561096 40.6802120196116)
529,jackie robinson park,jackie robinson park,park_direct,av,,M-10,POINT (-73.94112979682347 40.82658501813408)
530,harmony park,harmony park,park_direct,av,,B-03,POINT (-73.93443180731612 40.67793206833396)
531,cpl thompson park,cpl. thompson park,other,av,,R-01,POINT (-74.11885100885547 40.6380640800322)
532,west 4th street courts,west 4th street courts,park_direct,av,,M-02,POINT (-74.00093458023642 40.7312154166599)
533,golf course - silver lake,silver lake golf course,golf,av,,R-01,POINT (-74.097801 40.62266199999983)
534,university woods,university woods,park_direct,av,,X-05,POINT (-73.9149830484608 40.85918917190601)
535,golf course - douglaston,douglaston golf course,golf,av,,Q-11,POINT (-73.73163199999999 40.75199899999983)
536,ben abrams playground,ben abrams playground,pgs,av,,X-11,POINT (-73.87009999999999 40.85449999999984)
537,spuyten duyvil playground,spuyten duyvil playground,park_direct,av,,X-08,POINT (-73.9158733535693 40.88704945578426)
538,fountain of youth playground,fountain of youth playground,park_direct,av,,X-01,POINT (-73.90525561967739 40.81399150716844)
539,aqueduct walk - allerton fields in bronx park,bronx park,other,av,,X-11,POINT (-73.87582007597459 40.85664005110435)
540,old fort number 4 park,washington's walk,other,v,,X-08,POINT (-73.89962318714029 40.87364117598869)
541,macombs dam park - summit playground,summit playground,pgs,v,,X-04,POINT (-73.9318 40.83079999999984)
542,riverside park - dinosaur playground,dinosaur playground,pgs,av,,M-14,POINT (-73.97499999999999 40.79689999999984)
543,st gregory's park,st. gregory's playground,other,v,,M-07,POINT (-73.97202670000922 40.78951768529415)
544,cedar playground,cedar playground,park_direct,av,,X-05,POINT (-73.91738858813117 40.85512223550921)
545,hickman playground,hickman playground,park_direct,av,,B-18,POINT (-73.9129966673067 40.62029972914197)
546,metcalf playground,soundview park,pgs,v,,X-09,POINT (-73.8737 40.81959999999984)
547,metcalf playground,soundview park,pgs,v,,X-09,POINT (-73.8703 40.81739999999984)
548,gravesend park,gravesend park,park_direct,av,,B-12,POINT (-73.98435469025944 40.62356082622644)
549,pelham bay park - rodmans neck east,pelham bay park,empiric,av,,X-11,POINT (-73.80420185645582 40.8681072084011)
550,fort tryon park - jacob javits playground,jacob javits playground,pgs,av,,M-12,POINT (-73.9349 40.85899999999985)
551,henry hudson park,henry hudson park,park_direct,av,,X-08,POINT (-73.91996278052697 40.88132945343111)
552,irving square park,irving square park,park_direct,av,,B-04,POINT (-73.90918444069284 40.6924428013011)
553,norelli-hargreaves playground,norelli-hargreaves playground,park_direct,av,,Q-12,POINT (-73.80873758473335 40.69017933633715)
554,prospect park - lincoln road playground,prospect park,empiric,av,,B-19,POINT (-73.96968227860212 40.66135344094496)
555,bufano playground,bufano playground,pgs,av,,X-10,POINT (-73.83110000000001 40.83819999999985)
556,aqueduct walk - bronx park,bronx park,other,av,,X-11,POINT (-73.87582007597459 40.85664005110435)
557,travers park,travers park,park_direct,av,,Q-03,POINT (-73.88934553496779 40.75397668475761)
558,pomonok playground - ps 201,pomonok playground,pgs,v,,Q-08,POINT (-73.8139 40.73609999999987)
559,lawerence virgilio playground,lawrence virgilio playground,other,v,,Q-02,POINT (-73.91074722251807 40.74747006546586)
560,taaffe playground,taaffe playground,park_direct,av,,B-03,POINT (-73.96071178293222 40.69528048221984)
561,harlem river park,harlem river park,park_direct,av,,M-11,POINT (-73.93396383334688 40.80630398705618)
562,harlem river park,harlem river park,park_direct,av,,M-11,POINT (-73.93462043214474 40.80778514035564)
563,harlem river park,harlem river park,park_direct,av,,M-11,POINT (-73.93153364485845 40.80378842264288)
564,harlem river park,harlem river park,park_direct,av,,M-11,POINT (-73.93091882538887 40.80363212463968)
565,harlem river park,harlem river park,park_direct,av,,X-04,POINT (-73.93084303132787 40.83918400489603)
566,steuben playground,steuben playground,park_direct,av,,B-02,POINT (-73.96345807768023 40.69744491946236)
567,briarwood playground - jhs 217,briarwood playground,pgs,v,,Q-08,POINT (-73.8111 40.71029999999984)
568,louis armstrong playground - ps 143,louis armstrong playground,pgs,av,,Q-03,POINT (-73.8557 40.75539999999984)
569,tot lot one hundred five,lt. federico narvaez tot lot,other,v,,B-14,POINT (-73.96592745905616 40.64028198757134)
570,canarsie park,canarsie park,park_direct,av,,B-18,POINT (-73.89183233553152 40.62997747967015)
571,riverside park - classic playground,classic playground,pgs,av,,M-14,POINT (-73.9864 40.78339999999983)
572,riverside park - classic playground,classic playground,pgs,av,,X-13,POINT (-73.8905 40.88519999999984)
573,people's park,people's park,park_direct,av,,X-01,POINT (-73.91700526693428 40.80948565323649)
574,murray playground,murray playground,park_direct,av,,Q-02,POINT (-73.94882250443958 40.74722870086336)
575,mullaly park,mullaly park,park_direct,av,,X-04,POINT (-73.92420722008595 40.83277446840562)
576,francis lewis park,francis lewis park,park_direct,av,,Q-07,POINT (-73.82525071069755 40.79711962496967)
577,st andrew's playground,st andrew's playground,pgs,av,,B-03,POINT (-73.9422 40.67869999999985)
578,kingfisher park,king fisher park,other,av,,R-03,POINT (-74.15092747844039 40.56237348090252)
579,kelly playground,kelly playground,pgs,av,,B-15,POINT (-73.9564 40.60429999999985)
580,maria hernandez park,maria hernandez park,park_direct,av,,B-04,POINT (-73.92386339567109 40.7031714415559)
581,parade ground,parade ground,park_direct,av,,B-14,POINT (-73.96851381993018 40.65077394483697)
582,cleopatra playground,cleopatra playground,park_direct,av,,X-05,POINT (-73.90420039567226 40.8454206701341)
583,macdonald park,macdonald park,park_direct,av,,Q-06,POINT (-73.84680327286067 40.72223725174893)
584,rodney playground south,rodney playground south,park_direct,av,,B-01,POINT (-73.95591502469551 40.70972568874619)
585,rockaway beach playground,rockaway beach playground,pgs,av,,Q-14,POINT (-73.8019 40.58639999999982)
586,inwood hill park - indian road playground,inwood hill park,empiric,av,,M-12,POINT (-73.92551288356847 40.87256008428427)
587,levy playground,levy playground,park_direct,av,,R-01,POINT (-74.12893852615628 40.63391404876694)
588,holcombe rucker,holcombe rucker park,other,av,,M-10,POINT (-73.93595402187444 40.82921415774632)
589,howard bennett playground - ps 197,howard bennett playground,pgs,av,,M-10,POINT (-73.9387 40.81359999999984)
590,sailors snug harbor,snug harbor cultural center,other,av,,R-01,POINT (-74.10324205370347 40.64269472623774)
591,theodore roosevelt park,theodore roosevelt park,park_direct,av,,M-07,POINT (-73.9740578565839 40.7813556769497)
592,juniper south playground,juniper south playground,pgs,av,,Q-05,POINT (-73.8828 40.71849999999984)
593,frost playground,frost playground,park_direct,av,,B-01,POINT (-73.93901100889904 40.71872731433679)
594,nelson playground,nelson playground,park_direct,av,,X-04,POINT (-73.92684228963829 40.83479884101543)
595,first park,first park,park_direct,av,,M-03,POINT (-73.98963948015347 40.72351779105156)
596,highbridge recreation center,highbridge park,other,v,,M-12A,POINT (-73.93046510008581 40.8465014989529)
597,highbridge recreation center,highbridge park,other,v,,X-04,POINT (-73.92678915223533 40.84207696521291)
598,kissena corridor west,kissena corridor park,other,v,,Q-07,POINT (-73.82346042661605 40.74825132541721)
599,kissena corridor west,kissena corridor park,other,v,,Q-08,POINT (-73.78184923260966 40.74178847177561)
600,white playground a,white playground,pgs,av,,M-11,POINT (-73.94589999999999 40.79159999999985)
601,white playground a,white playground,pgs,av,,R-01,POINT (-74.06310000000001 40.60759999999986)
602,flushing meadows and corona park - unisphere,flushing meadows corona park,empiric,av,,Q-15,POINT (-73.84178561075053 40.74327909895254)
603,lyons square playground,lyons square playground,park_direct,av,,X-02,POINT (-73.88807089839987 40.82277492764192)
604,woods playground,woods playground,park_direct,av,,B-08,POINT (-73.92895635225091 40.67454369833266)
605,willoughby playground,willoughby playground,park_direct,av,,B-03,POINT (-73.94681939494221 40.69447015302828)
606,marie curie park - jhs 158,marie curie park,other,v,,Q-11,POINT (-73.77177874699007 40.75693569428287)
607,mcdonald playground - staten island,mcdonald playground,pgs,av,,B-15,POINT (-73.97199999999999 40.60059999999982)
608,mcdonald playground - staten island,mcdonald playground,pgs,av,,R-01,POINT (-74.1153 40.62959999999985)
609,greenbelt - nature center,greenbelt native plant center,empiric,av,,R-02,POINT (-74.18155504198339 40.5960761085245)
610,berry playground,berry playground,park_direct,av,,B-01,POINT (-73.96351293191796 40.71264364837283)
611,dimattina playground,dimattina playground,park_direct,av,,B-06,POINT (-74.0027437847216 40.67995867957721)
612,dimattina playground,dimattina playground,park_direct,av,,B-06,POINT (-74.00208817468783 40.68075205314217)
613,blake hobbs playground,blake hobbs playground,park_direct,av,,M-11,POINT (-73.94419808153252 40.78880665139634)
614,story playground,story playground,park_direct,av,,X-09,POINT (-73.86284389381707 40.82291343699495)
615,grand ave playground,grand playground,pgs,av,,X-05,POINT (-73.9072 40.85599999999986)
616,jacob schiff playground - ps 192,jacob schiff playground,pgs,av,,M-09,POINT (-73.952 40.82049999999987)
617,riverside park - baseball fields,riverside park,other,av,,M-14,POINT (-73.95365809523385 40.82606986895416)
618,riverside park - baseball fields,riverside park,other,av,,M-14,POINT (-73.97456126834187 40.79883352294459)
619,central park - 79th street yard and summit rock,central park,empiric,av,,M-13,POINT (-73.96555840117853 40.78248383838978)
620,annandale playground - ps 175,annadale playground,pgs,v,,Q-06,POINT (-73.85180000000001 40.73109999999983)
621,liberty park,detective keith l williams park,other,v,,Q-12,POINT (-73.78442920492633 40.70288383186908)
622,van cortlandt park - allen shandler rec area,van cortlandt park,empiric,av,,X-13,POINT (-73.88666707241306 40.89710151291683)
623,prospect park - garfield tot lot playground,prospect park,empiric,av,,B-19,POINT (-73.96968227860212 40.66135344094496)
624,central park - billy johnson playground,central park,empiric,av,,M-13,POINT (-73.96555840117853 40.78248383838978)
625,sakura park,sakura park,park_direct,av,,M-09,POINT (-73.96207854375666 40.81306920796433)
626,electric  playground,electric playground,pgs,av,,Q-08,POINT (-73.80540000000001 40.73589999999984)
627,whitestone playground - ps 193,whitestone playground,pgs,av,,Q-07,POINT (-73.8085 40.79199999999985)
628,sutton place park,sutton place park,park_direct,av,,M-06,POINT (-73.96023509642316 40.75670918694566)
629,hallets cove playground - area a,hallets cove playground (area a),pgs,av,,Q-01,POINT (-73.934 40.77219999999986)
630,john paul jones park,john paul jones park,park_direct,av,,B-10,POINT (-74.03409082866358 40.61091405551115)
631,st nicholas north playground,st nicholas north playground,pgs,av,,M-10,POINT (-73.9466 40.81219999999984)
632,boerum park,boerum park,park_direct,av,,B-06,POINT (-73.99032448952227 40.68465245659573)
633,police officer reinaldo salgado playground,plce ofcr reinaldo salgado playground,pgs,av,,B-03,POINT (-73.92570000000001 40.68799999999987)
634,lt nicholaus lia playground,lt lia playground,pgs,v,,R-01,POINT (-74.07980000000001 40.64359999999984)
635,blue heron park - nature center,blue heron park,other,v,,R-03,POINT (-74.17438395771006 40.53223462347621)
636,grove hill playground,grove hill playground,park_direct,av,,X-01,POINT (-73.90884219933844 40.81987181025243)
637,lozada playground,lozada playground,park_direct,av,,X-01,POINT (-73.92495821258586 40.80795242436547)
638,seton falls park - high rock playground,high rock playground,pgs,v,,X-12,POINT (-73.8408 40.88829999999986)
639,mapes ballfields,mapes ballfield,other,av,,X-06,POINT (-73.8858060976392 40.84722677158872)
640,brust park,brust park,park_direct,av,,X-08,POINT (-73.90387149858904 40.88989619574814)
641,jacob joffe fields,jacob joffe fields,park_direct,av,,B-18,POINT (-73.91936147090965 40.62533760567976)
642,double nickel playground - ps 55,double nickel playground/ps 55,pgs,av,,R-03,POINT (-74.1626 40.53689999999984)
643,cunningham park - 210th st playground,210th st playground,pgs,av,,Q-08,POINT (-73.7653 40.73929999999985)
644,railroad park,railroad park,park_direct,av,,Q-12,POINT (-73.76817347596979 40.67842345134088)
645,railroad park,railroad park,park_direct,av,,X-03,POINT (-73.91537714681897 40.82513039294209)
646,railroad park,railroad park,park_direct,av,,Q-12,POINT (-73.76817347596979 40.67842345134088)
647,railroad park,railroad park,park_direct,av,,X-03,POINT (-73.91537714681897 40.82513039294209)
648,fox playground 1,fox playground,pgs,av,,B-18,POINT (-73.9239 40.63229999999982)
649,fox playground 1,fox playground,pgs,av,,X-02,POINT (-73.8985 40.81499999999981)
650,carver playground,carver playground,park_direct,av,,B-03,POINT (-73.92053093253057 40.68030439654184)
651,gene gray playground,gene gray playground,park_direct,av,,Q-14,POINT (-73.81919657673829 40.60624677512683)
652,recreation center - al oerter,flushing meadows corona park,other,v,,Q-15,POINT (-73.84178561075053 40.74327909895254)
653,flushing meadows and corona park - indoor ice hockey rink,flushing meadows corona park,empiric,av,,Q-15,POINT (-73.84178561075053 40.74327909895254)
654,virginia principe playground,virginia principe playground,pgs,av,,Q-05,POINT (-73.9038 40.72719999999983)
655,pool - mullaly,mullaly pool,pool,av,,X-04,POINT (-73.9243 40.83169999999983)
656,clark playground,clark playground,park_direct,av,,X-01,POINT (-73.92128780057733 40.81370910720051)
657,flushing meadows and corona park - playground for all children,flushing meadows corona park,empiric,av,,Q-15,POINT (-73.84178561075053 40.74327909895254)
658,crotona park - crotona park lake,crotona park,empiric,av,,X-03,POINT (-73.89489523245744 40.83858538262999)
659,loring field,vito locascio field,other,v,,Q-10,POINT (-73.84371981982621 40.66995840965117)
660,lt lia playground,lt lia playground,pgs,av,,R-01,POINT (-74.07980000000001 40.64359999999984)
661,quarry ballfields,quarry ballfields,park_direct,av,,X-06,POINT (-73.89085945452389 40.85086516100203)
662,golconda playground,golconda playground,park_direct,av,,B-02,POINT (-73.98228792614235 40.6978242225854)
663,pool - lasker in central park,central park,empiric,av,,M-13,POINT (-73.96555840117853 40.78248383838978)
664,albano playground,vincent f albano jr playground,pgs,v,,M-06,POINT (-73.9785 40.74199999999984)
665,fort hamilton athletic field,fort hamilton athletic field,park_direct,av,,B-10,POINT (-74.03741554822516 40.62666675543529)
666,lenape playground,lenape playground,pgs,av,,B-18,POINT (-73.9263 40.60649999999985)
667,pool - hamilton fish,hamilton fish pool,pool,av,,M-03,POINT (-73.98050000000001 40.71969999999983)
668,lindower park,lindower park,park_direct,av,,B-18,POINT (-73.91152113231956 40.61210204777675)
669,galileo playground,galileo playground,park_direct,av,,X-05,POINT (-73.91568879183298 40.84860443672765)
670,richman echo park,richman (echo) park,other,av,,X-05,POINT (-73.90156490994082 40.84928580624804)
671,poor richards playground - is 117,poor richards playground,pgs,av,,M-11,POINT (-73.9426 40.79249999999984)
672,jacob riis park,jacob riis triangle,other,v,,Q-09,POINT (-73.83494157801171 40.70196813943912)
673,bruckner playground,bruckner playground,park_direct,av,,X-10,POINT (-73.82857540173586 40.82677292607146)
674,recreation center - flushing meadows and corona park,flushing meadows corona park,empiric,av,,Q-15,POINT (-73.84178561075053 40.74327909895254)
675,baisley park south,baisley pond park,other,v,,Q-12,POINT (-73.78618229228482 40.67588888213658)
676,liotti ikefugi playgound,liotti ikefugi playgound,pgs,av,,R-01,POINT (-74.0839 40.63869999999983)
677,crotona park - martin van buren playground,crotona park,empiric,av,,X-03,POINT (-73.89489523245744 40.83858538262999)
678,pool - mapes,mapes pool,pool,av,,X-06,POINT (-73.88600000000001 40.84649999999983)
679,vesuvio playground,vesuvio playground,park_direct,av,,M-02,POINT (-74.00257971901624 40.72539204825005)
680,alley park,alley park,park_direct,av,,Q-11,POINT (-73.74491274197617 40.74739054142606)
681,rosemary's playground - jhs 93,rosemary's playground,pgs,av,,Q-05,POINT (-73.904 40.70469999999983)
682,leif ericson drive shore parkway - homecrest playground,homecrest playground,pgs,av,,B-15,POINT (-73.9573 40.58599999999984)
683,central park - mariners gate playground,central park,empiric,av,,M-13,POINT (-73.96555840117853 40.78248383838978)
684,saint johns recreation center,st. john's recreation center,other,av,,B-08,POINT (-73.93475430462256 40.67436985826448)
685,classon playground,classon playground,park_direct,av,,B-02,POINT (-73.96056223618292 40.68942919867396)
686,classon playground,classon playground,park_direct,av,,B-01,POINT (-73.96206992563934 40.69907079076499)
687,noonan playground,noonan playground,pgs,av,,Q-02,POINT (-73.9225 40.74109999999983)
688,marcy playground,marcy playground,park_direct,av,,B-03,POINT (-73.95091349010248 40.69552138822501)
689,frederick e. samuel playground,samuel playground,pgs,av,,M-10,POINT (-73.9392 40.81719999999986)
690,shore road park - vinland playground,vinland playground,pgs,av,,B-10,POINT (-74.04000000000001 40.61749999999984)
691,mahoney playground,mahoney playground,park_direct,av,,R-01,POINT (-74.08585562624165 40.64334155349869)
692,astoria heights playground,astoria heights playground,park_direct,av,,Q-01,POINT (-73.91174251918373 40.76042085270176)
693,centerville playground,centerville playground,pgs,av,,Q-10,POINT (-73.839 40.67029999999985)
694,belmont playground - bronx,belmont playground,pgs,av,,B-05,POINT (-73.8629 40.67569999999983)
695,belmont playground - bronx,belmont playground,pgs,av,,X-06,POINT (-73.88760000000001 40.85029999999983)
696,patrick o'rourke park,patrick o'rourke park,park_direct,av,,B-10,POINT (-74.01399712260361 40.61914688084232)
