,Park Facility Name,SIGNNAME
56837,,Captain Jacob Joseph Playground
56838,,Minetta Green
56839,,Charlton Plaza
56840,,Joseph C. Sauer Park
56841,,Children's Garden
56842,,William F. Passannante Ballfield
56843,,Albert J. Parham Playground
56844,,Stanley Isaacs Playground
56845,,Peter Detmold Park
56846,,Twenty-Four Sycamores Park
56847,,Wagner Houses Pool
56848,,MacArthur Park
56849,,Fisher Pool
56850,,Stars & Stripes Playground
56851,,James Weldon Johnson Playground
56852,,Dag Hammarskjold Plaza
56853,,Almeda Playground
56854,,Sara D. Roosevelt Park
56855,,Wanaqua Garden
56856,,Padre Plaza
56857,,United We Stand Garden
56858,,The Public Theater
56859,,Orchard Alley Garden
56860,,St. Ann's Block Association Garden
56861,,Isla Verde Garden
56862,,Courtlandt Avenue Association Garden
56863,,J. Hood Wright Park
56864,,Worth Square
56865,,Robert L. Clinkscales Playground and Community Garden
56866,,Hart To Hart
56867,,Verdi Square
56868,,Lafayette Square
56869,,Castle Hill Little League Field
56870,,Demera/Santiago Garden
56871,,Fox Playground
56873,,Wishing Well Garden
56874,,Roger Morris Park
56875,,St. Vartan Park
56876,,St. Nicholas Park
56877,,St. Catherine's Park
56878,,Gertrude Ederle Recreation Center
56879,,Dr. Gertrude B. Kelly Playground
56880,,Rev J Polite Playground
56881,,Printer's Park
56882,,Edith Garden
56883,,Jardin de la Roca
56884,,Jackson-Forest Community Garden
56885,,Jardin De La Familia
56886,,Genesis Park Community Garden
56887,,CS 134 Community Improvement Garden
56888,,P.S. 186 Day Treatment Program
56889,,Daniel Boone Playground
56890,,Angie Lee Gonzales Garden
56891,,Eae J Mitchell Park
56892,,Mitchel Square
56893,,Murphy's Brother's Playground
56894,,El Batey de Dona Provi Garden
56895,,Stop & Go Playground
56896,,Richard Tucker Square
56897,,Volky Garden & Flowers
56898,,Krystal Garden Group
56899,,Harlem RBI
56900,,Belmont Playground
56902,,D'Auria-Murphy Triangle
56903,,Charles W Cooke Farm Garden
56904,,Farm in the Bronx
56905,,Bathgate Playground
56906,,Lot
56910,,Woodycrest Community Garden
56911,,Park
57035,,Taqwa Community Farm
57036,,La Isla Garden
57037,,Herald Square
57038,,Dred Scott Bird Sanctuary
57039,,Greeley Square Park
57040,,Claremont Neighborhood Garden
57041,,Dyckman House Museum
57042,,Half-Nelson Playground
57043,,Townsend Garden
57044,,Jardin De Las Rosas
57045,,Walton Park
57046,,Grand Playground
57047,,Davidson Playground
57048,,Davidson Ave. Community Gardeners Group
57049,,Bryan Park
57050,,Fordham Bedford Lot Busters
57051,,Margaret I. Carman Green - Weeping Beech
57052,,Harris Park
57053,,Risse Street Park
57054,,Valentine Varian House
57055,,Cooney Grauer Field
57056,,Kingsbridge Heights Community Center
57057,,Siren Slope
57058,,Hilton White Playground
57059,,Washington's Walk
57060,,Rita Ley Triangle
57061,,Columbus Park
57063,,Wave Hill
57064,,Riverdale Playground
57065,,Daly Ave Garden
57066,,110th Street Block Association Garden
57067,,Ralph Bunche Park
57068,,Alexander's Alley
57069,,River Avenue Parks
57070,,Garden Of Life
57071,,Garden Of Eden
57072,,Raoul Wallenberg Forest
57073,,Fruit Street Sitting Area
57074,,Tony Dapolito Recreation Center
57075,,Hillside Park
57077,,Sgt. William Dougherty Playground
57078,,Frederick Johnson Playground
57079,,McCaffrey Playground
57080,,Prospect Cemetery
57081,,Waterfront Garden
57082,,Hawkins Park
57083,,Fresh Meadows Playground
57084,,Vladeck Park
57085,,Peter Minuit Playground
57086,,Col. Young Playground
57087,,Southside Burial Ground
57088,,Sheltering Arms Playground
57089,,Alfred E. Smith Playground
57090,,Booker T. Washington Playground
57091,,Trygve Lie Plaza
57092,,Playground One Twenty Five CXXV
57093,,Alice Kornegay Triangle
57094,,Each One Teach One
57095,,St. Nicholas Playground South
57096,,St. Nicholas Playground North
57097,,East Elmhurst Playground
57098,,Tom McDonald Triangle
57099,,Chiarantano Playground
57100,,Success Garden
57101,,Lott Park
57102,,East Flatbush Children's Park
57103,,Ebenezer Wesleyan Garden
57104,,Hoparkinson R&L Block Association Garden
57105,,Jes Good Rewards Childeren's Garden
57106,,Cherry Tree Park
57107,,Howard Bennett Playground
57108,,Josephine Caminiti Playground
57109,,Daniel M. O'Connell Playground
57110,,Frederick B. Judge Playground
57111,,DeSalvio Playground
57112,,Jacob H. Schiff Playground
57113,,St. Michael's Playground
57114,,Playground Thirty Five XXXV
57115,,The Painter's Playground
57116,,Ravenswood Playground
57117,,Electric Playground
57118,,Playground Ninety
