Boro,Cleanliness,Landscape,Structural
B,0.0825086967331,0.0557434632242,0.0690969442088
M,0.133114515342,0.0296390516533,0.0647437181153
Q,0.0750818789125,0.0225827632999,0.0525639669587
R,0.0412223885976,-0.00790041426596,0.0384016647802
X,0.0941617870145,0.0530595627405,0.059493812301
