District,Cleanliness,Landscape,Structural
1,0.0866868394025,-0.0103570932928,0.0487279925191
2,0.0908288452245,0.0139874076092,0.0707504642441
3,0.0743211775077,0.0207932415813,0.0301984977352
4,0.0852328561218,0.0218275573992,0.131241823656
5,0.087714393234,0.0472929191069,0.0745632686245
6,0.0826543321937,0.00951536280053,0.0537014992676
7,0.0774242954286,0.0452432854413,0.0448377489643
8,0.0885781171039,-0.00408267891044,0.0295098879273
9,0.0642712083392,0.0384335138785,0.0758198442003
10,0.0837892635347,0.0875809413226,0.0782594267604
11,0.107518421327,-0.0241867240367,0.0915472816759
12,0.0786294591644,-0.000649241079709,0.0681277852676
13,0.0251621020555,0.0673182907423,0.0419097552892
14,0.0333441674706,0.082388387226,0.0336195239068
15,0.0491386906855,0.0302003361345,0.100799044258
16,0.033395126527,0.0302376280794,0.072981116607
17,0.0197984001293,0.197704081633,0.0599401875963
18,0.128800192101,0.125442465938,0.0725947738406
19,0.124473214699,-0.0166767015974,0.133360504714
01,0.058858113633,0.0097785163587,0.0492288853371
02,0.0393510608011,-0.0117253022385,0.0215352172611
03,0.07739792633,0.00500780278598,0.0681219743996
04,0.119824730135,0.0442444862341,0.048208527304
05,0.121121896516,0.0466009487796,0.0622771669582
06,0.110317284575,0.0193471344722,0.0459810401481
07,0.157699808356,0.00527706137186,0.0918669672739
08,0.0925597914142,-0.0250566302942,0.0383857184991
09,0.123729432174,0.057438714278,0.0615019473858
10,0.105874999597,0.0531601283253,0.0359932682847
11,0.118334888442,-0.0220804871279,0.0481998867189
11R,0.0759648777556,0.0572785547786,0.0667520838349
12,0.0872883224388,0.0271830919575,0.0556151767581
12A,0.176977426872,0.123239283934,0.0711636223401
13,0.126062455635,0.0164137515909,0.0798383477588
14,0.172939803817,-0.0137494142949,0.0864750108894
15,0.118445119273,0.0400736787668,0.092352971461
15A,-0.00249476718566,0.0450121654501,-0.0327789254374
16,0.113395250088,-0.0220314284427,0.0724364675288
17,0.0605664307766,-0.0787037037037,-0.0115901480258
18,0.0951644935409,0.00016339869281,0.033076760213
