District,Cleanliness,Landscape,Structural
01,0.0710901245903,-0.00363786153458,0.0489899605756
02,0.0596639770329,0.00645950303437,0.0455938450173
03,0.0751874593373,0.0167729260747,0.0580644921172
04,0.0993128695921,0.047735859934,0.0699200661417
05,0.106431672446,0.0439994648602,0.0686771009122
06,0.0993198874469,0.0264136153038,0.0519702754913
07,0.117814551116,0.0170109866492,0.0681226927432
08,0.0920153965312,-0.0118117091437,0.0302760901447
09,0.107377128039,0.0594886653923,0.0688584738813
10,0.0933182445956,0.0843025320175,0.0612996565633
11,0.111052770995,-0.0183764386939,0.0681639976048
11R,0.0871714572409,0.0546194468641,0.0661725150311
12,0.0860271704998,0.0280297910235,0.0609750564407
12A,0.17410541074,0.125206394014,0.0729049101127
13,0.0860351398458,0.0317426176901,0.0586448998629
14,0.0891750212579,0.0206618154104,0.0577307540204
15,0.0904478908442,0.0142065213335,0.0908277824942
15A,-0.00178555458172,0.0444602948169,-0.0340405255889
16,0.0958574804623,0.0330772379832,0.0693799511688
17,0.0587989269665,0.0649380300065,0.0179180287755
18,0.12358081314,0.125954187171,0.0706602094942
19,0.119215745378,-0.00486719432161,0.129953268772
