Boro,Cleanliness,Landscape,Structural
Bronx,0.0944435378878,0.0580890163388,0.0577949468963
Brooklyn,0.0830123926714,0.0553226342163,0.0702688288369
Manhattan,0.132111736538,0.0282078584574,0.0644964909405
Queens,0.0766770241403,0.024095867576,0.0512321255749
Staten Island,0.0406946498345,-0.00976906479175,0.0399102057198
