Park ID,AverageRating
M108N,0.0
M108H,0.1111111111111111
M108G,0.18181818181818182
M108F,0.1
M076,0.25
XZ258,0.0
XZ256,0.0
Q102-ZN01,0.09090909090909091
Q102-ZN02,0.07692307692307693
XZ255,0.125
Q102-ZN04,0.03333333333333333
M108Q,0.0
RZ123,0.0
RZ121,0.0
RZ127,0.0
Q205A,0.2692307692307693
Q360S,0.0
Q205B,0.08333333333333333
X045-ZN03,0.4444444444444444
X045-ZN02,0.3
X045-ZN01,0.2692307692307693
RZ125,0.0
Q360P,0.0
Q399,0.09090909090909091
Q398,0.08333333333333333
Q397,0.09090909090909091
Q396,0.125
Q387B,0.0625
Q394,0.08333333333333333
Q387D,0.125
Q392,0.07142857142857142
Q391,0.18181818181818182
Q390,0.041666666666666664
M009,0.25
M008,0.0
Q159,0.0
QZ04,0.0
M003,0.045454545454545456
M002,0.2
M001,0.0
Q156,0.07142857142857142
M007,0.045454545454545456
M004,0.25
Q024-05,0.03333333333333333
Q024-03,0.045454545454545456
Q024-02,0.0
B073-ZN26,0.16666666666666666
M071-37,0.0
B073-ZN24,0.0
B073-ZN25,0.18181818181818182
B073-ZN22,0.07692307692307693
B073-ZN23,0.0
B073-ZN20,0.16666666666666666
B073-ZN21,0.030303030303030304
B073-ZN28,0.0
B073-ZN29,0.21212121212121213
MZ172,0.14285714285714285
XZ257,0.0
RZ013B,0.0
RZ013C,0.0
RZ013A,0.0
XZ254,0.2857142857142857
RZ013D,0.0
Q102-ZN03,0.0
M132,0.08333333333333333
M010-167,0.0
Q050-ZN09,0.03333333333333333
M138,0.22727272727272727
MZ52,0.0
MZ50,0.0
MZ51,0.14285714285714285
MZ57,0.0
M010-169,0.0
Q360G,0.0
MZ58,0.14285714285714285
MZ59,0.0625
B058-01,0.2727272727272727
RZ31,0.0
RZ30,0.0
RZ33,0.0
RZ32,0.0
RZ35,0.0
RZ34,0.0
RZ36,0.0
RZ39,0.0
RZ38,0.0
M010-ZN35,0.09090909090909091
M010-ZN34,0.09090909090909091
M258,0.041666666666666664
M259,0.0
M010-ZN31,0.0
M010-ZN30,0.07692307692307693
M010-ZN33,0.2545454545454546
M010-ZN32,0.08333333333333333
Q163-ZN07B,0.07692307692307693
Q220C-03,0.125
M251,0.18181818181818182
M256,0.045454545454545456
M257,0.0
M255,0.0
B065-ZN09,0.30000000000000004
B060-01,0.09090909090909091
B065-ZN07,0.2
X008-ZN01,0.29924242424242425
X008-ZN02,0.16666666666666666
X008-ZN03,0.3181818181818182
B065-ZN03,0.09090909090909091
B065-ZN02,0.18181818181818182
B065-ZN01,0.09090909090909091
BZ78,0.0
R059,0.045454545454545456
MZ216,0.0
X158,0.041666666666666664
X159,0.0
X156,0.1111111111111111
X157,0.25
X154,0.16666666666666666
X155,0.25
X152,0.07692307692307693
X151,0.08333333333333333
X110C,0.1
BZ59,0.0
X002-ZN06,0.19090909090909092
X002-ZN04,0.23076923076923078
X002-ZN05,0.2490842490842491
X002-ZN02,0.2727272727272727
X002-ZN03,0.23076923076923075
X002-ZN01,0.14285714285714285
RZ166,0.0
RZ167,0.0
RZ164,0.25
RZ162,0.0
RZ163,0.0
R024,0.0
RZ161,0.0
RZ004B,0.0
RZ004A,0.0
QZ699,0.0
QZ698,0.0
QZ697,0.0
QZ696,0.125
QZ695,0.0
QZ694,0.0
QZ693,0.14285714285714285
M071-ZN12,0.0
M071-ZN13,0.5
M071-ZN10,0.038461538461538464
M071-ZN11,0.0
QZ459,0.0
QZ458,0.0
M071-ZN14,0.2222222222222222
QZ108,0.0
X022,0.0
X023,0.0
QZ105,0.041666666666666664
QZ104,0.0
QZ451,0.0
QZ102,0.0
QZ453,0.0
QZ452,0.1111111111111111
Q133B,0.0
QZ52,0.0
QZ670,0.125
QZ672,0.14285714285714285
X010-10,0.0
QZ53,0.0
M188A,0.0
BZ114,0.0
BZ111,0.125
BZ110,0.0
X150I,0.08712121212121213
X150H,0.0
BZ97,0.0
BZ96,0.0
BZ95,0.0
X150L,0.0
BZ99,0.0
BZ98,0.0
X150E,0.20833333333333334
QZ50,0.125
RZ62,0.0
X013-01o,0.0
B378,0.1
B379,0.13636363636363635
RZ63,0.0
B375,0.020833333333333332
B376,0.1
B377,0.18181818181818182
RZ238,0.125
RZ239,0.0
R065-ZN10A,0.1851851851851852
R065-ZN10B,0.09090909090909091
M010-164,0.15000000000000002
B233,0.0625
B257,0.16666666666666666
RZ64,0.0
Q257,0.0
M010-151,0.05555555555555555
RZ68,0.125
Q445-01,0.0
RZ69,0.0
B110,0.027777777777777776
B111,0.07692307692307693
M029-ZN06,0.13636363636363635
XZ314,0.09090909090909091
B114,0.20833333333333331
B115,0.0
B116,0.0
B117,0.125
B288,0.25
B289,0.0
MZ240,0.0
