,District,score_type,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,B-01,Naive Normalized Score,0.849093787209,0.894601594925,0.897870727363,0.887888962889,0.915921343614,0.910678737217,0.870867857214,0.892875585063,0.879027478931,0.898363238894,0.886751742266,0.845867604618
1,B-01,Area Normalized Score,0.826137329753,0.855885390501,0.884227715144,0.864968823397,0.904682338531,0.869999117605,0.8282297833,0.845600042359,0.831586975295,0.857619268228,0.869625086844,0.819505822852
2,B-01,Amenities & Area Normalized Score,0.811958520898,0.823516988761,0.893130292881,0.858929624081,0.907962102469,0.857664840731,0.809201991341,0.825962023885,0.831344663102,0.823218419687,0.854232969821,0.824544663449
3,B-02,Naive Normalized Score,0.841419228919,0.886584158595,0.851264331733,0.88511956562,0.891595154845,0.897916546417,0.880491869242,0.871703315203,0.887769685947,0.918676288989,0.907674899175,0.912059010729
4,B-02,Area Normalized Score,0.836708838598,0.8897672959,0.850330448779,0.886375079938,0.908870319785,0.896044356531,0.856225266704,0.875269092106,0.891643367889,0.896089213472,0.892288706621,0.871446217992
5,B-02,Amenities & Area Normalized Score,0.823093472782,0.887941729578,0.85678970731,0.885776130135,0.904119787639,0.88258826437,0.839114003834,0.879935799425,0.895369147819,0.888944324409,0.887673009758,0.873777661094
6,B-03,Naive Normalized Score,0.8252032545,0.806524926686,0.872494074388,0.8849815168,0.890594758777,0.882602540557,0.860013793726,0.798340043795,0.799868649869,0.82424789263,0.863659910351,0.841764380401
7,B-03,Area Normalized Score,0.781595416573,0.781173722349,0.849850741245,0.877140107858,0.886992951165,0.865680532202,0.832251328949,0.779573039891,0.776941840753,0.780371032093,0.840833616775,0.792150714816
8,B-03,Amenities & Area Normalized Score,0.772928594882,0.769931582051,0.839572168719,0.873796464782,0.883658395697,0.866582490656,0.828191384594,0.793454621972,0.781543842812,0.780934855214,0.843759343021,0.79356769428
9,B-04,Naive Normalized Score,0.777666315166,0.902174307174,0.830441028879,0.860549519925,0.89572204416,0.893007600039,0.897763694639,0.888677294927,0.89104020979,0.848670426795,0.857860253173,0.882757867133
